"","part","term","statistic","Model SAT Score 1","Log-Log Model SAT Score 1","Model SAT Score 2"
"1","estimates","(Intercept)","estimate","111.878***","4.097***","101.053***"
"2","estimates","(Intercept)","std.error","(8.217)","(0.129)","(10.100)"
"3","estimates","sat_grade_11_score_school_avg","estimate","-0.056***","","-0.051***"
"4","estimates","sat_grade_11_score_school_avg","std.error","(0.009)","","(0.011)"
"5","estimates","log(sat_grade_11_score_school_avg)","estimate","","0.000",""
"6","estimates","log(sat_grade_11_score_school_avg)","std.error","","(0.019)",""
"7","estimates","mobility_rate_pct","estimate","","","0.336***"
"8","estimates","mobility_rate_pct","std.error","","","(0.057)"
"9","gof","Num.Obs.","","144","144","139"
"10","gof","R2","","0.199","0.000","0.399"
"11","gof","R2 Adj.","","0.194","-0.007","0.391"
"12","gof","AIC","","1227.8","1303.5","1142.4"
"13","gof","BIC","","1236.7","1312.4","1154.1"
"14","gof","Log.Lik.","","-610.885","-58.554","-567.175"
"15","gof","RMSE","","16.83","0.36","14.32"
